,id,type,PlanArea,Longitude,Latitude,YearBuilt,NumberOfStories,RoofShape,DWSII,BuildingType,OccupancyClass,MeanRoofHt,RoofSlope,geometry
411,,,,,,,,Flat,167,Wood,RES3,,1.05,
412,,,,,,,,Flat,167,Wood,RES3,,1.05,
413,,,,,,,,Flat,167,Wood,RES3,,1.05,
414,,,,,,,,Flat,167,Wood,RES3,,1.05,
415,,,,,,,,Flat,167,Wood,RES3,,1.05,
416,,,,,,,,Flat,167,Wood,RES3,,1.05,
417,,,,,,,,Flat,167,Wood,RES3,,1.05,
418,,,,,,,,Flat,167,Wood,RES3,,1.05,
419,,,,,,,,Flat,167,Wood,RES3,,1.05,
420,,,,,,,,Flat,167,Wood,RES3,,1.05,
421,,,,,,,,Flat,167,Wood,RES3,,1.05,
422,,,,,,,,Flat,167,Wood,RES3,,1.05,
423,,,,,,,,Flat,167,Wood,RES3,,1.05,
424,,,,,,,,Flat,167,Wood,RES3,,1.05,
425,,,,,,,,Flat,167,Wood,RES3,,1.05,
426,,,,,,,,Flat,167,Wood,RES3,,1.05,
427,,,,,,,,Flat,167,Wood,RES3,,1.05,
428,,,,,,,,Flat,167,Wood,RES3,,1.05,
429,,,,,,,,Flat,167,Wood,RES3,,1.05,
430,,,,,,,,Flat,167,Wood,RES3,,1.05,
431,,,,,,,,Flat,167,Wood,RES3,,1.05,
432,,,,,,,,Flat,167,Wood,RES3,,1.05,
433,,,,,,,,Flat,167,Wood,RES3,,1.05,
434,,,,,,,,Flat,167,Wood,RES3,,1.05,
435,,,,,,,,Flat,167,Wood,RES3,,1.05,
436,,,,,,,,Flat,167,Wood,RES3,,1.05,
437,,,,,,,,Flat,167,Wood,RES3,,1.05,
438,,,,,,,,Flat,167,Wood,RES3,,1.05,
439,,,,,,,,Flat,167,Wood,RES3,,1.05,
440,,,,,,,,Flat,167,Wood,RES3,,1.05,
441,,,,,,,,Flat,167,Wood,RES3,,1.05,
442,,,,,,,,Flat,167,Wood,RES3,,1.05,
443,,,,,,,,Flat,167,Wood,RES3,,1.05,
444,,,,,,,,Flat,167,Wood,RES3,,1.05,
445,,,,,,,,Flat,167,Wood,RES3,,1.05,
446,,,,,,,,Flat,167,Wood,RES3,,1.05,
447,,,,,,,,Flat,167,Wood,RES3,,1.05,
448,,,,,,,,Flat,167,Wood,RES3,,1.05,
449,,,,,,,,Flat,167,Wood,RES3,,1.05,
450,,,,,,,,Flat,167,Wood,RES3,,1.05,
451,,,,,,,,Flat,167,Wood,RES3,,1.05,
452,,,,,,,,Flat,167,Wood,RES3,,1.05,
453,,,,,,,,Flat,167,Wood,RES3,,1.05,
454,,,,,,,,Flat,167,Wood,RES3,,1.05,
455,,,,,,,,Flat,167,Wood,RES3,,1.05,
456,,,,,,,,Flat,167,Wood,RES3,,1.05,
457,,,,,,,,Flat,167,Wood,RES3,,1.05,
458,,,,,,,,Flat,167,Wood,RES3,,1.05,
459,,,,,,,,Flat,167,Wood,RES3,,1.05,
460,,,,,,,,Flat,167,Wood,RES3,,1.05,
461,,,,,,,,Flat,167,Wood,RES3,,1.05,
462,,,,,,,,Flat,167,Wood,RES3,,1.05,
463,,,,,,,,Flat,167,Wood,RES3,,1.05,
464,,,,,,,,Flat,167,Wood,RES3,,1.05,
